NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Göztepe Tabiat Parkı,29.1186578231558,41.0944892167356,FATİH,BEYKOZ
Karakoyunlu Parkı,28.9378674542343,41.0145829210427,MOLLA GÜRANİ,FATİH
Yeni Camii Parkı,28.9715422325079,41.0164615628988,RÜSTEMPAŞA,FATİH
Büyük Saray Meydanı Parkı,28.9289144051292,41.0149172561606,ŞEHREMİNİ,FATİH
Koyunbaba Parkı,28.9441544722759,41.0213429699781,AKŞEMSETTİN,FATİH
Köroğlu Parkı,28.9471730392888,41.0296725449587,BALAT,FATİH
Kadıçeşme Parkı,28.9517621733132,41.0221863427661,ZEYREK,FATİH
Şehit Piyade Asteğmen Furkan Işık Parkı,28.9330184662102,41.0097006780632,SEYYİD ÖMER,FATİH
Molla Aşkı Parkı,28.9436131587459,41.0350250280877,AYVANSARAY,FATİH
Hasan Baba Parkı ve Türbesi,28.9554437999758,41.0210984770055,CİBALİ,FATİH
Kurusebil Semt Parkı,28.9329059915737,41.0060956892048,CERRAHPAŞA,FATİH
Akşemsettin Parkı,28.9405833592034,41.0195138493295,AKŞEMSETTİN,FATİH
Abdullah Tukay Parkı,28.9393369949541,41.016457279985,MOLLA GÜRANİ,FATİH
Fatih Parkı,28.9182660728326,41.0349140558981,ORTA,BAYRAMPAŞA
Uğur Mumcu Parkı,28.9145999783068,41.0312246022557,ORTA,BAYRAMPAŞA
Park,28.9454388070083,41.0128474329642,MOLLA GÜRANİ,FATİH
Şehit Cehar Dudayev Parkı,28.8847334513324,41.072514767428,CEVATPAŞA,BAYRAMPAŞA
Deniz Bingöller Parkı,28.8932145138233,40.9870505871935,SÜMER,ZEYTİNBURNU
Çiçek Parkı,28.9130145958151,41.0039859730025,TELSİZ,ZEYTİNBURNU
Ramazan Efendi Parkı,28.9320459609585,41.0052621456038,SİLİVRİKAPI,FATİH
Kantarcılar Camii Yanı Parkı,28.9655856183304,41.0187931091745,SARIDEMİR,FATİH
Keyci Hatun Parkı,28.9427981350353,41.0078067374142,CERRAHPAŞA,FATİH
Selçuk Sultan Parkı,28.9447118947273,41.0116411024386,MOLLA GÜRANİ,FATİH
Dr. Ahmet Zeki Velidi Togan Parkı,28.96142044062,41.0105655979425,BALABANAĞA,FATİH
Bayrampaşa Şehir Parkı,28.8875370810967,41.0618812990571,YILDIRIM,BAYRAMPAŞA
Şişhane Parkı,28.9694066018159,41.0282407157314,BEDRETTİN,BEYOĞLU
Sütlüce-2 Parkı,28.9465651142474,41.0547189141773,SÜTLÜCE,BEYOĞLU
Nilufer Parkı,28.9483189470267,41.0631195062892,ÖRNEKTEPE,BEYOĞLU
Okmeydanı Semt Konağı Parkı,28.9605670861276,41.0493566190137,PİYALEPAŞA,BEYOĞLU
Sururi Parkı,28.9715219143476,41.0373412439298,SURURİ MEHMET EFENDİ,BEYOĞLU
Park,28.9457576982659,41.0378789928726,AYVANSARAY,FATİH
Silivrikapı Parkı,28.9245859665084,41.0069374363967,MEVLANAKAPI,FATİH
Nadir Nadi Parkı,28.9356132746468,41.0011486801045,KOCA MUSTAFAPAŞA,FATİH
Mehmet Akif Ersoy Parkı,28.9321630566964,40.9969973142708,KOCA MUSTAFAPAŞA,FATİH
Mehmet Ağa Parkı,28.9448264703578,41.0269856397792,BALAT,FATİH
Ferit Güleryüz Parkı,28.9742405574164,41.0412833091615,HACIAHMET,BEYOĞLU
Kayalı Bahçe Parkı,28.7892434811942,40.97291109163,BASINKÖY,BAKIRKÖY
Çıksalın Kudüm Sokağı Parkı,28.9487551838782,41.0473988144483,HALICIOĞLU,BEYOĞLU
Halıcıoğlu (Abdüselam) Parkı,28.9448766620554,41.0457605552084,HALICIOĞLU,BEYOĞLU
Aynalı Kavak Semt Konağı Parkı,28.9556858530132,41.0391945925543,KEÇECİ PİRİ,BEYOĞLU
Fındıklı Parkı,28.9901291265539,41.0314514855312,ÖMER AVNİ,BEYOĞLU
2403 Sok. Yeşil Alan,28.8829768562414,41.0984228487787,ESENTEPE,SULTANGAZİ
Park,29.2920464889148,40.8170019498098,POSTANE,TUZLA
Dr. Sadık Ahmet Parkı,28.6080989505695,41.0042786931588,PINARTEPE,BÜYÜKÇEKMECE
Ragıp Gümüşpala Cad. Yeşil Alan,28.964215786541,41.0195921325426,YAVUZ SİNAN,FATİH
Park,28.0254482598263,41.0967956255287,İSMETPAŞA,SİLİVRİ
Gümüşyaka Büyük Bahçe Parkı,28.0513787027016,41.0477038074483,GÜMÜŞYAKA,SİLİVRİ
Krallık - Millet Parkı,28.0448422192414,41.047844107246,GÜMÜŞYAKA,SİLİVRİ
Karanfil Parkı,28.8839151809625,41.0985506484438,ESENTEPE,SULTANGAZİ
Kumluk Parkı,28.9671301469381,41.003678296498,ŞEHSUVAR BEY,FATİH
Küçükmustafa Paşa Parkı,28.9577639473927,41.0255918615726,YAVUZ SULTAN SELİM,FATİH
Kuzguncuk Parkı,29.0334421571836,41.0391709797061,KUZGUNCUK,ÜSKÜDAR
Şehit Yıldırım Özbir Parkı,28.8987190202328,41.0327962380007,TERAZİDERE,BAYRAMPAŞA
Terazidere Parkı,28.8986428778319,41.0323251041052,TERAZİDERE,BAYRAMPAŞA
60. Yıl Parkı,28.9034633755808,41.0327115552888,TERAZİDERE,BAYRAMPAŞA
Park,28.901683937939,41.0171668700139,MALTEPE,ZEYTİNBURNU
Berrak Parkı,29.1266012151532,40.9995232365773,TATLISU,ÜMRANİYE
Kaşif Kalkavan Parkı,29.140391916854,41.0014096726248,TATLISU,ÜMRANİYE
Simge Parkı,29.226087670288,40.8847341193475,YENİ,PENDİK
Şehit Bülent Kocabıyık Parkı,29.0870142182633,41.1073855831082,ÇUBUKLU,BEYKOZ
