PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-12-01,DEDEKTİF KÖPEK CASH,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.988829,41.046788,98
2017-11-03,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,9
2019-12-25,ŞAHANE ZÜĞÜRTLER,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,66
2019-11-09,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.988829,41.046788,4
2019-12-29,VAHŞİ BATI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yabancı,28.8765777,41.09774468,1
2018-12-11,BENİM GÜZEL PABUÇLARIM,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,92
2019-10-16,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,84
2018-02-28,HAYAL-İ TEMSİL,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,72
2020-02-24,YAŞASIN BARIŞ,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.988829,41.046788,38
2019-01-25,HARİKALAR MUTFAĞI,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.916482,41.057846,68
2020-02-07,BİR KÜMES HİKAYESİ,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,20
2019-11-06,KARAGÖZ ÇİFTLİK BEKÇİSİ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.0159,71
2018-01-01,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,22
2019-03-08,MATRUŞKA,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yerli,28.8765777,41.09774468,33
2018-10-29,NORA - BİR BEBEK EVİ,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,18
2018-10-08,ON İKİ ÖFKELİ ADAM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,17
2019-09-27,SÖZ VERİYORUM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.99177,12
2020-01-01,NORA - BİR BEBEK EVİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.023817,41.017064,12
2018-12-10,HAYAL-İ TEMSİL,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yerli,28.988829,41.046788,75
2019-12-14,PALYAÇO PRENS,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,2
2019-03-09,ÜZGÜN AĞAÇLAR ÜLKESİ,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.988829,41.046788,41
2019-03-03,POLLYANNA,Ümraniye Sahnesi,Çocuk,0,Yabancı,29.104798,41.025025,10
2019-04-02,PALYAÇO PRENS,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,49
2017-11-29,BİSKÜVİ ADAM,Kadıköy Haldun Taner Sahnesi,Çocuk,0,Yabancı,29.023408,40.99177,10
2019-02-08,UZLAŞMA,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,91
2020-02-05,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,40
2017-12-29,KAHVEDE ŞENLİK VAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,2
2017-12-07,YAŞASIN BARIŞ,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.916482,41.057846,102
2017-09-23,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,23
2019-11-28,VAHŞİ BATI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0129,41.019561,29
2017-10-07,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,20
2020-02-23,HARİKALAR MUTFAĞI,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.0159,56
2018-09-26,MATRUŞKA,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,30
2018-04-01,KARINCALAR - BİR SAVAŞ VARDI,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,51
2018-11-18,YAŞASIN BARIŞ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.0159,100
