institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng
2005,Bahçelievler,Bahcelievler,Orhan Ayhan Parkı,41.0042477902896,28.8398354337259,HÜRRİYET,HURRIYET
2013,Bahçelievler,Bahcelievler,Sadri Alışık Parkı,41.0049109209822,28.8628634881546,BAHÇELİEVLER,BAHCELIEVLER
2015,Bahçelievler,Bahcelievler,Yıldırım Beyazıt Parkı,41.0021374674614,28.8353226926966,ZAFER,ZAFER
2019,Bahçelievler,Bahcelievler,Park,41.0011954577186,28.8460979252474,ŞİRİNEVLER,SIRINEVLER
2020,Bahçelievler,Bahcelievler,Altınyıldız Parkı,41.0068386474315,28.8203199522133,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
2115,Bahçelievler,Bahcelievler,Ekrem Bulut Parkı,41.0030498094386,28.8433202912793,ŞİRİNEVLER,SIRINEVLER
2196,Bahçelievler,Bahcelievler,Şehit Serkan Alçınkaya Parkı,41.0089193243515,28.8592285477495,BAHÇELİEVLER,BAHCELIEVLER
2197,Bahçelievler,Bahcelievler,Sami Özey Parkı,41.009020135442,28.8677547787898,BAHÇELİEVLER,BAHCELIEVLER
2198,Bahçelievler,Bahcelievler,Turgay Şeren Parkı,41.0063580790701,28.8768954333741,BAHÇELİEVLER,BAHCELIEVLER
2243,Bahçelievler,Bahcelievler,Çocuk Parkı,41.0096620861087,28.8405763503859,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
2277,Bahçelievler,Bahcelievler,Tanyolaç Parkı,41.0074249919897,28.8422508745017,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
2278,Bahçelievler,Bahcelievler,Necmi Tanyolaç Parkı,41.0071304627943,28.8432819199287,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
2279,Bahçelievler,Bahcelievler,Şehit Hüseyin Uzunal Parkı,40.9990022294788,28.8526766684017,SİYAVUŞPAŞA,SIYAVUSPASA
2363,Bahçelievler,Bahcelievler,Serdar Sok. Parkı,41.0040202256515,28.8336368068928,ZAFER,ZAFER
2367,Bahçelievler,Bahcelievler,Şehit Enver Yorulmaz Parkı,41.0015460548744,28.8616462380103,BAHÇELİEVLER,BAHCELIEVLER
2368,Bahçelievler,Bahcelievler,Piri Reis Parkı,41.0048509882222,28.8256132885965,ÇOBANÇEŞME,COBANCESME
2703,Bahçelievler,Bahcelievler,Karadeniz Parkı,41.0105623180806,28.84255433428,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
2704,Bahçelievler,Bahcelievler,Karadeniz Parkı,41.0105623180806,28.84255433428,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
2782,Bahçelievler,Bahcelievler,Atilla Gökçe Parkı,41.0099338432713,28.819387706039,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
2828,Bahçelievler,Bahcelievler,Kahraman Bapçum Parkı,41.0098818491623,28.8625025445629,BAHÇELİEVLER,BAHCELIEVLER
2878,Bahçelievler,Bahcelievler,Şehit Oktay Demiryürek Parkı,41.0078234420623,28.8214377313622,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
2916,Bahçelievler,Bahcelievler,Şehit Metin Uzun Parkı,41.0053290995518,28.8592676372709,BAHÇELİEVLER,BAHCELIEVLER
2918,Bahçelievler,Bahcelievler,Milli Egemenlik Parkı,41.0003857020749,28.8512072968618,ŞİRİNEVLER,SIRINEVLER
2986,Bahçelievler,Bahcelievler,Muammer Taşkale Parkı,41.0197329537626,28.8266096260885,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
2991,Bahçelievler,Bahcelievler,Ömer İnci Parkı,40.9978013374672,28.8496094329396,ŞİRİNEVLER,SIRINEVLER
3020,Bahçelievler,Bahcelievler,Şehit Tamer Dost Engelsiz Yaşam Parkı,41.0008543382708,28.852852207387,SİYAVUŞPAŞA,SIYAVUSPASA
3043,Bahçelievler,Bahcelievler,Orhan Gazi Parkı,41.0018719898351,28.8771837785882,BAHÇELİEVLER,BAHCELIEVLER
3159,Bahçelievler,Bahcelievler,Nene Hatun Parkı,41.0219871983783,28.8338573583215,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
3161,Bahçelievler,Bahcelievler,Ulubatlı Hasan Parkı,41.0013891420697,28.855448172924,SİYAVUŞPAŞA,SIYAVUSPASA
3163,Bahçelievler,Bahcelievler,Yavuz Gökmen Parkı,41.0076293429632,28.8599665090397,BAHÇELİEVLER,BAHCELIEVLER
3171,Bahçelievler,Bahcelievler,Şehit Ercan Şahin Parkı,41.0017240380012,28.8646693248357,BAHÇELİEVLER,BAHCELIEVLER
3187,Bahçelievler,Bahcelievler,Şehit İbrahim Koparır Parkı,41.0019439090903,28.8309501948758,FEVZİ ÇAKMAK,FEVZI CAKMAK
3188,Bahçelievler,Bahcelievler,Sırma Doğan Parkı,41.0139040984527,28.8387061755058,ZAFER,ZAFER
3190,Bahçelievler,Bahcelievler,Remzi Özkaya Parkı,41.0142467326236,28.8310780774967,ZAFER,ZAFER
3194,Bahçelievler,Bahcelievler,İlhan Koç Parkı,41.0108144705429,28.8235413337795,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
3196,Bahçelievler,Bahcelievler,Ergene Sok. Parkı,41.0001943355844,28.8289265039027,ÇOBANÇEŞME,COBANCESME
3204,Bahçelievler,Bahcelievler,Kazım Kanat Parkı,41.0069689351577,28.8634252751736,BAHÇELİEVLER,BAHCELIEVLER
3206,Bahçelievler,Bahcelievler,Şehit Yunus Çaça Parkı,41.0113505194334,28.8344690633712,ZAFER,ZAFER
3208,Bahçelievler,Bahcelievler,İslam Çupi Parkı,40.9992825403091,28.8374395400306,ZAFER,ZAFER
3210,Bahçelievler,Bahcelievler,Togay Bayatlı Parkı,41.0061980529062,28.8483467083966,ŞİRİNEVLER,SIRINEVLER
3387,Bahçelievler,Bahcelievler,Zafer Meydanı PArkı,41.0008875270953,28.8372841652384,ZAFER,ZAFER
3388,Bahçelievler,Bahcelievler,Fetih Parkı,40.9944951110488,28.8462890439198,ŞİRİNEVLER,SIRINEVLER
3466,Bahçelievler,Bahcelievler,Çocuk Parkı,41.0025857047725,28.8471757740309,ŞİRİNEVLER,SIRINEVLER
3470,Bahçelievler,Bahcelievler,Cem Atabeyoğlu Parkı,41.0093297216644,28.8450417969798,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
3555,Bahçelievler,Bahcelievler,Levent Kırca Oya Başar Parkı,41.0147207477607,28.8531436038965,CUMHURİYET,CUMHURIYET
3624,Bahçelievler,Bahcelievler,Park,41.0076135021191,28.8273166781426,ÇOBANÇEŞME,COBANCESME
