institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng
10,Beyoğlu,Beyoglu,Park,41.0351371958467,28.9754650136279,KAMER HATUN,KAMER HATUN
98,Beyoğlu,Beyoglu,Şişhane Parkı,41.0282407157314,28.9694066018159,BEDRETTİN,BEDRETTIN
99,Beyoğlu,Beyoglu,Sütlüce-2 Parkı,41.0547189141773,28.9465651142474,SÜTLÜCE,SUTLUCE
100,Beyoğlu,Beyoglu,Nilufer Parkı,41.0631195062892,28.9483189470267,ÖRNEKTEPE,ORNEKTEPE
101,Beyoğlu,Beyoglu,Okmeydanı Semt Konağı Parkı,41.0493566190137,28.9605670861276,PİYALEPAŞA,PIYALEPASA
102,Beyoğlu,Beyoglu,Sururi Parkı,41.0373412439298,28.9715219143476,SURURİ MEHMET EFENDİ,SURURI MEHMET EFENDI
108,Beyoğlu,Beyoglu,Ferit Güleryüz Parkı,41.0412833091615,28.9742405574164,HACIAHMET,HACIAHMET
110,Beyoğlu,Beyoglu,Çıksalın Kudüm Sokağı Parkı,41.0473988144483,28.9487551838782,HALICIOĞLU,HALICIOGLU
111,Beyoğlu,Beyoglu,Halıcıoğlu (Abdüselam) Parkı,41.0457605552084,28.9448766620554,HALICIOĞLU,HALICIOGLU
112,Beyoğlu,Beyoglu,Aynalı Kavak Semt Konağı Parkı,41.0391945925543,28.9556858530132,KEÇECİ PİRİ,KECECI PIRI
113,Beyoğlu,Beyoglu,Fındıklı Parkı,41.0314514855312,28.9901291265539,ÖMER AVNİ,OMER AVNI
153,Beyoğlu,Beyoglu,Perşembe Pazarı Parkı,41.022129052206,28.9710186782551,ARAP CAMİ,ARAP CAMI
154,Beyoğlu,Beyoglu,Dereiçi Parkı,41.0541086761649,28.9517155061691,ÖRNEKTEPE,ORNEKTEPE
157,Beyoğlu,Beyoglu,Pirimehmetpaşa Parkı,41.0432506083553,28.947569630849,PİRİPAŞA,PIRIPASA
